Country,Month_Year,Number
    Indonesia,2017/1/7,158510
    Indonesia,2017/2/7,120382
    Indonesia,2017/3/7,153855
    Indonesia,2017/4/7,142560
    Indonesia,2017/5/7,155604
    Indonesia,2017/6/7,180643
    Indonesia,2017/7/7,193024
    Indonesia,2017/8/7,159570
    Indonesia,2017/9/7,136054
    Indonesia,2017/10/7,215886
    Indonesia,2017/11/7,136473
    Indonesia,2017/12/7,209494
    Malaysia,2017/1/7,45147
    Malaysia,2017/2/7,48175
    Malaysia,2017/3/7,52269
    Malaysia,2017/4/7,51360
    Malaysia,2017/5/7,51348
    Malaysia,2017/6/7,59152
    Malaysia,2017/7/7,50725
    Malaysia,2017/8/7,55293
    Malaysia,2017/9/7,49733
    Malaysia,2017/10/7,58591
    Malaysia,2017/11/7,55020
    Malaysia,2017/12/7,68961
    Philippines,2017/1/7,27798
    Philippines,2017/2/7,30588
    Philippines,2017/3/7,39195
    Philippines,2017/4/7,43107
    Philippines,2017/5/7,42047
    Philippines,2017/6/7,35997
    Philippines,2017/7/7,35032
    Philippines,2017/8/7,34096
    Philippines,2017/9/7,32523
    Philippines,2017/10/7,36179
    Philippines,2017/11/7,32059
    Philippines,2017/12/7,30154
    Thailand,2017/1/7,25863
    Thailand,2017/2/7,22575
    Thailand,2017/3/7,33087
    Thailand,2017/4/7,34500
    Thailand,2017/5/7,30555
    Thailand,2017/6/7,29419
    Thailand,2017/7/7,32250
    Thailand,2017/8/7,29149
    Thailand,2017/9/7,27135
    Thailand,2017/10/7,36655
    Thailand,2017/11/7,26309
    Thailand,2017/12/7,25919
    Vietnam,2017/1/7,12555
    Vietnam,2017/2/7,11969
    Vietnam,2017/3/7,14060
    Vietnam,2017/4/7,15553
    Vietnam,2017/5/7,14995
    Vietnam,2017/6/7,23153
    Vietnam,2017/7/7,24935
    Vietnam,2017/8/7,23778
    Vietnam,2017/9/7,15574
    Vietnam,2017/10/7,14631
    Vietnam,2017/11/7,15333
    Vietnam,2017/12/7,16674
    Japan,2017/1/7,49959
    Japan,2017/2/7,46920
    Japan,2017/3/7,58843
    Japan,2017/4/7,37962
    Japan,2017/5/7,38813
    Japan,2017/6/7,41289
    Japan,2017/7/7,49234
    Japan,2017/8/7,58288
    Japan,2017/9/7,54186
    Japan,2017/10/7,51825
    Japan,2017/11/7,53784
    Japan,2017/12/7,53411
    China,2017/1/7,76116
    China,2017/2/7,111934
    China,2017/3/7,79239
    China,2017/4/7,99136
    China,2017/5/7,85198
    China,2017/6/7,77239
    China,2017/7/7,108881
    China,2017/8/7,114463
    China,2017/9/7,76181
    China,2017/10/7,83831
    China,2017/11/7,103906
    China,2017/12/7,97832
    South Korea,2017/1/7,46756
    South Korea,2017/2/7,31464
    South Korea,2017/3/7,42071
    South Korea,2017/4/7,32219
    South Korea,2017/5/7,34408
    South Korea,2017/6/7,38027
    South Korea,2017/7/7,46123
    South Korea,2017/8/7,45910
    South Korea,2017/9/7,30265
    South Korea,2017/10/7,33383
    South Korea,2017/11/7,43965
    South Korea,2017/12/7,39701
    UK,2017/1/7,51913
    UK,2017/2/7,50663
    UK,2017/3/7,57778
    UK,2017/4/7,42338
    UK,2017/5/7,29518
    UK,2017/6/7,27587
    UK,2017/7/7,34662
    UK,2017/8/7,38607
    UK,2017/9/7,32983
    UK,2017/10/7,41140
    UK,2017/11/7,44794
    UK,2017/12/7,43710
    USA,2017/1/7,36947
    USA,2017/2/7,30990
    USA,2017/3/7,38849
    USA,2017/4/7,30253
    USA,2017/5/7,31180
    USA,2017/6/7,34838
    USA,2017/7/7,39483
    USA,2017/8/7,33668
    USA,2017/9/7,27391
    USA,2017/10/7,34968
    USA,2017/11/7,34509
    USA,2017/12/7,35809
    Australia,2017/1/7,68190
    Australia,2017/2/7,40252
    Australia,2017/3/7,52493
    Australia,2017/4/7,58557
    Australia,2017/5/7,58832
    Australia,2017/6/7,66784
    Australia,2017/7/7,75658
    Australia,2017/8/7,62205
    Australia,2017/9/7,71269
    Australia,2017/10/7,74693
    Australia,2017/11/7,60543
    Australia,2017/12/7,79014
    India,2017/1/7,52339
    India,2017/2/7,42507
    India,2017/3/7,53444
    India,2017/4/7,59244
    India,2017/5/7,97637
    India,2017/6/7,80829
    India,2017/7/7,58731
    India,2017/8/7,56204
    India,2017/9/7,55188
    India,2017/10/7,59747
    India,2017/11/7,63189
    India,2017/12/7,69669
