Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Pct_Change
    USA,"38,267","33,944","43,236","34,124","34,105","39,712","43,187","34,221","29,821","36,840","36,701","36,418","440,576",5.6
    Indonesia,"208,232","177,003","191,842","194,335","199,881","253,383","251,419","228,209","221,319","193,879","188,488","284,232","2,592,222",12.4
    Malaysia,"78,342","81,747","96,418","87,230","90,528","97,856","90,175","91,344","103,060","88,770","104,972","130,493","1,140,935",10.0
    Philippines,"43,339","48,107","59,922","76,197","72,488","52,257","50,938","49,558","51,859","63,218","52,726","57,114","677,723",24.5
    Thailand,"33,230","31,019","45,728","55,662","44,274","32,783","40,848","34,385","33,009","53,133","29,299","39,338","472,708",9.9
    Vietnam,"19,704","26,850","23,756","24,152","24,500","36,751","45,542","30,612","26,678","23,285","23,406","26,995","332,231",2.9
    Hong Kong SAR,"29,322","38,190","32,721","52,413","37,886","37,962","56,960","49,034","31,113","31,027","31,543","36,204","464,375",19.8
    Japan,"48,799","58,190","59,999","38,311","41,594","38,061","55,479","72,034","62,395","57,677","61,293","62,585","656,417",24.1
    P R China,"132,040","149,941","129,749","131,797","110,920","103,335","183,862","183,890","104,211","133,563","100,824","113,390","1,577,522",34.7
    South Korea,"41,070","36,810","29,619","28,004","33,736","34,233","40,587","44,364","30,112","33,594","33,145","29,605","414,879",15.0
    Taiwan,"18,218","19,139","15,222","18,828","18,758","20,445","33,454","26,574","19,057","17,775","15,865","15,153","238,488",24.7
    India,"63,078","50,696","57,601","74,097","114,316","90,742","71,209","60,926","58,309","77,196","72,387","78,434","868,991",4.8
  UK,"41,408","41,665","49,753","44,966","28,282","24,462","30,659","34,967","33,956","36,362","39,074","37,057","442,611",-4.2
  Australia,"98,023","58,135","65,885","85,297","72,365","84,371","94,690","71,953","86,076","84,509","70,012","84,723","956,039",8.6
