Country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total,Pct_Change
USA,43746,44052,49729,36594,35355,41609,43508,38067,33053,36306,39705,43188,484912,-1.4
Indonesia,284126,219036,246308,230236,267714,278181,296880,234710,206593,226630,219369,315395,3025178,-2.1
Malaysia,89482,91181,107002,94982,100648,108945,101461,93222,99339,97184,106313,143276,1233035,-3.7
Philippines,43702,44539,57050,73558,76976,56224,49506,51074,47246,58572,53508,64526,676481,-1.6
Thailand,35263,35161,46338,56136,46683,39083,43785,40849,35122,53916,35138,39035,506509,1.8
Vietnam,26071,33053,31060,30234,36630,48999,55951,41775,28960,30552,29938,31185,424408,11.5
Hong Kong SAR,41909,48440,43218,69675,47859,47182,80808,87173,39931,40146,39019,45669,631029,16.9
Japan,59578,69230,85946,50751,54173,56044,69419,95248,74408,68609,69415,71920,824741,-1
China,188237,203600,165642,126507,95987,91485,180653,174150,105780,133993,131731,124615,1722380,-24.1
South Korea,59745,51930,40995,36247,41946,37589,46666,56623,39276,44810,40230,40918,536975,13.8
Taiwan,32033,32874,22115,25865,26699,25807,44229,38422,25373,24197,21240,18577,337431,-3.7
India,65557,62999,70488,79536,118953,94738,72724,69960,65751,88855,71555,82520,943636,1.1
UK,42333,43990,49453,43704,27661,25126,32046,38342,35971,36971,37909,38425,451931,-2.1
Australia,126119,69119,74578,99811,78280,81558,106641,82448,97642,87565,73262,97855,1074878,-4.5
