Month,Year,    USA,    Indonesia,    Malaysia,    Philippines,    Thailand,    Japan,China,Korea,    India,  UK,  Australia
Jan,2007,"31,541","60,650","30,552","19,798","18,786","40,298","55,741","30,030","37,657","45,519","57,866"
Feb,2007,"25,940","42,856","31,394","21,037","16,221","38,855","75,624","20,476","31,574","44,689","35,182"
Mar,2007,"31,324","60,637","35,333","28,353","25,052","46,810","55,141","27,994","41,018","47,798","44,129"
Apr,2007,"25,351","57,391","37,037","30,506","23,795","29,799","67,290","21,308","44,644","35,795","49,643"
May,2007,"26,828","60,940","37,873","29,309","23,153","30,335","59,751","23,511","63,276","24,400","51,661"
Jun,2007,"29,481","73,911","43,628","25,485","22,345","32,674","56,053","24,860","55,409","22,322","59,092"
Jul,2007,"33,298","75,821","34,334","25,468","24,866","40,567","81,317","30,391","43,284","28,668","66,248"
Aug,2007,"28,646","61,709","36,627","24,682","21,041","46,662","78,415","28,585","41,515","31,531","54,711"
Sep,2007,"23,930","51,625","34,092","23,717","19,843","43,712","56,753","20,571","41,663","28,152","64,148"
Oct,2007,"27,545","85,750","43,301","26,657","26,782","37,370","59,776","21,624","43,428","34,513","65,468"
Nov,2007,"28,409","54,370","40,663","23,640","19,479","38,831","73,441","25,688","42,839","37,178","53,403"
Dec,2007,"28,764","75,866","46,381","21,847","18,198","39,062","67,570","23,798","49,846","36,314","66,642"
Jan,2008,"31,155","62,683","31,352","18,622","18,370","37,673","79,599","27,937","41,639","41,923","71,260"
Feb,2008,"27,738","47,834","35,030","21,609","16,400","35,297","82,074","22,633","37,170","44,019","45,595"
Mar,2008,"31,349","64,688","37,629","28,464","23,387","42,575","72,546","22,876","44,815","49,480","53,191"
Apr,2008,"26,376","58,074","37,521","30,131","24,469","26,839","76,112","20,634","49,527","35,761","56,514"
May,2008,"26,788","57,089","38,044","30,193","21,935","30,814","64,808","22,785","67,754","24,457","57,808"
Jun,2008,"29,725","70,118","40,419","25,800","19,900","31,001","55,238","22,575","57,380","22,467","63,350"
Jul,2008,"33,183","73,805","32,507","26,228","21,067","36,373","80,747","25,440","47,131","27,966","71,487"
Aug,2008,"27,427","58,015","32,654","26,101","18,453","39,592","66,625","24,766","43,266","31,840","59,246"
Sep,2008,"21,588","63,730","32,272","26,463","17,373","34,945","52,649","16,106","42,053","29,269","65,146"
Oct,2008,"25,112","71,206","39,477","28,680","22,503","34,104","54,423","19,537","49,147","33,452","67,074"
Nov,2008,"25,198","51,265","40,261","25,341","15,232","35,214","58,801","16,050","39,034","36,305","52,787"
Dec,2008,"26,243","72,068","59,748","27,057","16,642","34,236","48,780","14,706","44,652","37,165","68,292"
Jan,2009,"23,883","52,286","35,696","19,141","14,700","26,300","76,316","15,615","32,568","36,363","69,422"
Feb,2009,"22,092","47,807","34,849","22,595","16,271","31,858","54,250","16,783","31,674","38,686","44,832"
Mar,2009,"24,465","64,760","44,178","27,652","19,289","35,039","66,269","13,533","35,138","40,722","44,777"
Apr,2009,"21,519","65,102","40,968","33,975","19,962","23,642","61,336","14,366","41,976","33,970","56,494"
May,2009,"23,022","65,953","42,049","31,344","18,938","21,733","40,078","15,103","57,362","24,088","51,519"
Jun,2009,"28,186","86,938","50,528","25,917","18,601","21,795","34,768","15,456","52,701","21,931","57,855"
Jul,2009,"32,448","94,331","42,739","25,330","19,424","37,841","56,677","21,532","48,412","28,969","69,636"
Aug,2009,"28,444","71,754","45,715","28,104","17,511","40,081","63,217","21,858","42,519","31,553","57,896"
Sep,2009,"22,451","102,622","51,569","28,250","17,755","41,081","45,918","12,070","45,723","30,496","66,759"
Oct,2009,"27,178","77,974","52,937","30,736","25,757","33,710","62,075","12,665","48,976","34,250","71,415"
Nov,2009,"28,758","82,368","59,946","29,874","17,867","31,127","65,419","14,895","38,747","35,523","60,452"
Dec,2009,"28,038","120,752","80,243","32,774","19,259","31,210","63,669","14,173","49,802","33,981","74,746"
Jan,2010,"35,514","173,639","67,941","32,703","24,635","37,747","98,918","39,437","57,404","44,522","89,584"
Feb,2010,"31,166","143,917","68,663","32,510","23,153","40,666","143,050","29,589","46,061","47,559","55,364"
Mar,2010,"37,102","165,942","81,745","43,955","31,813","51,834","88,031","30,113","53,965","54,444","63,656"
Apr,2010,"33,454","162,800","77,441","54,448","50,655","35,160","91,701","24,781","73,214","41,335","70,076"
May,2010,"32,108","185,757","81,867","55,307","38,921","36,819","71,628","32,159","115,955","29,283","63,512"
Jun,2010,"39,016","214,392","93,070","44,484","30,710","36,447","69,080","30,032","83,467","25,731","74,593"
Jul,2010,"41,162","232,528","82,592","43,440","37,256","44,646","117,775","32,668","64,905","31,804","87,279"
Aug,2010,"34,194","165,483","75,867","39,244","34,790","56,644","130,566","34,169","57,107","34,984","68,209"
Sep,2010,"27,932","243,763","95,455","40,662","30,709","44,999","74,434","25,653","54,825","31,688","80,282"
Oct,2010,"36,697","178,903","82,745","52,007","57,950","43,493","92,600","29,008","75,567","37,573","77,092"
Nov,2010,"34,311","175,969","99,933","50,092","30,192","51,527","93,998","27,814","72,918","43,240","64,145"
Dec,2010,"34,334","262,056","129,599","55,492","39,238","48,835","99,556","25,250","73,515","39,551","86,694"
Jan,2011,"38,267","208,232","78,342","43,339","33,230","48,799","132,040","41,070","63,078","41,408","98,023"
Feb,2011,"33,944","177,003","81,747","48,107","31,019","58,190","149,941","36,810","50,696","41,665","58,135"
Mar,2011,"43,236","191,842","96,418","59,922","45,728","59,999","129,749","29,619","57,601","49,753","65,885"
Apr,2011,"34,124","194,335","87,230","76,197","55,662","38,311","131,797","28,004","74,097","44,966","85,297"
May,2011,"34,105","199,881","90,528","72,488","44,274","41,594","110,920","33,736","114,316","28,282","72,365"
Jun,2011,"39,712","253,383","97,856","52,257","32,783","38,061","103,335","34,233","90,742","24,462","84,371"
Jul,2011,"43,187","251,419","90,175","50,938","40,848","55,479","183,862","40,587","71,209","30,659","94,690"
Aug,2011,"34,221","228,209","91,344","49,558","34,385","72,034","183,890","44,364","60,926","34,967","71,953"
Sep,2011,"29,821","221,319","103,060","51,859","33,009","62,395","104,211","30,112","58,309","33,956","86,076"
Oct,2011,"36,840","193,879","88,770","63,218","53,133","57,677","133,563","33,594","77,196","36,362","84,509"
Nov,2011,"36,701","188,488","104,972","52,726","29,299","61,293","100,824","33,145","72,387","39,074","70,012"
Dec,2011,"36,418","284,232","130,493","57,114","39,338","62,585","113,390","29,605","78,434","37,057","84,723"
Jan,2012,"38,922","230,500","88,969","42,248","28,725","50,672","201,742","45,933","57,265","40,128","94,946"
Feb,2012,"41,970","211,738","88,451","50,931","33,176","67,306","158,002","45,397","61,815","47,132","63,878"
Mar,2012,"45,720","227,695","108,054","58,682","43,230","74,995","182,348","34,077","65,547","52,109","70,960"
Apr,2012,"35,169","214,289","96,892","75,052","56,217","49,203","173,543","31,252","76,035","38,477","81,927"
May,2012,"36,739","228,359","99,568","72,484","42,583","50,006","139,946","33,018","124,147","26,725","72,641"
Jun,2012,"43,468","253,510","107,356","49,957","34,526","52,387","122,630","34,394","93,694","25,647","92,951"
Jul,2012,"44,265","246,772","90,449","45,249","34,542","61,139","201,652","42,524","68,749","31,195","105,570"
Aug,2012,"36,979","276,938","107,841","45,775","38,137","82,747","206,734","47,383","63,579","34,338","79,292"
Sep,2012,"32,008","195,481","90,484","46,880","34,926","65,991","128,830","31,247","58,748","34,849","100,891"
Oct,2012,"38,016","215,668","93,945","56,058","57,136","62,436","170,529","34,713","72,348","38,074","100,138"
Nov,2012,"40,170","229,432","124,008","55,125","33,908","70,696","177,112","34,014","74,794","39,509","83,972"
Dec,2012,"43,787","307,155","135,669","58,363","40,548","69,538","171,109","31,232","78,272","38,314","103,207"
JAN,2013,"39,019","152,574","67,672","35,136","26,203","51,178","136,643","34,533","55,369","37,849","107,350"
FEB,2013,"32,339","117,114","67,966","35,430","23,767","57,320","177,808","27,640","47,051","36,973","63,073"
MAR,2013,"38,432","160,122","84,352","50,027","33,198","71,490","139,637","23,442","57,296","42,913","76,469"
APR,2013,"32,075","138,163","73,183","57,149","38,993","43,760","157,581","20,978","61,516","32,247","83,863"
