Month,Year,    USA,    Indonesia,    Malaysia,    Philippines,    Thailand,    Japan,China,    Korea,    India,  UK,  Australia
Jan,2007,"3,249","22,534","9,922","5,037","6,224","5,703","18,226","3,429","9,680","3,004","6,425"
Feb,2007,"2,832","15,010","12,540","6,409","5,626","4,928","32,172","2,793","7,989","3,481","3,353"
Mar,2007,"3,349","17,069","11,645","6,849","6,535","7,561","22,021","3,325","8,362","3,872","3,459"
Apr,2007,"2,808","16,398","8,734","8,595","9,303","4,770","30,145","2,221","11,385","4,151","4,246"
May,2007,"3,002","18,857","7,649","8,612","6,464","5,066","22,237","2,368","26,126","3,257","3,662"
Jun,2007,"4,174","23,430","8,641","7,579","6,230","4,801","19,408","3,478","18,777","3,297","3,978"
Jul,2007,"4,714","29,465","10,764","6,928","6,397","5,059","24,613","4,837","11,183","4,432","5,260"
Aug,2007,"3,726","20,690","12,034","7,085","7,102","5,659","32,108","3,769","10,612","5,021","3,643"
Sep,2007,"2,538","16,131","10,426","6,819","6,346","5,848","17,935","2,354","9,810","3,427","3,903"
Oct,2007,"2,869","34,771","9,866","6,625","8,555","9,110","21,220","4,542","11,818","3,661","4,891"
Nov,2007,"3,087","16,155","8,435","6,098","5,719","11,094","28,729","8,760","16,134","3,842","4,282"
Dec,2007,"3,368","31,045","14,494","5,620","6,998","10,868","27,436","8,055","14,054","3,957","6,441"
Jan,2008,"3,428","22,210","10,112","4,180","6,640","9,924","25,465","10,175","12,007","3,326","6,987"
Feb,2008,"3,364","16,763","10,497","5,089","6,155","8,471","33,295","8,858","8,491","3,847","4,426"
Mar,2008,"3,026","18,453","11,975","5,725","7,263","10,611","23,970","7,892","8,674","4,194","3,627"
Apr,2008,"2,749","13,817","11,347","6,881","10,980","6,297","29,817","5,679","10,744","3,840","3,818"
May,2008,"2,886","17,427","8,949","8,831","7,728","7,948","20,257","5,379","28,421","3,369","3,685"
Jun,2008,"4,290","19,854","8,058","6,009","5,826","7,148","13,909","5,509","18,427","3,518","3,776"
Jul,2008,"4,502","25,595","10,108","6,045","6,949","7,656","22,404","5,486","11,803","4,103","4,739"
Aug,2008,"3,768","19,016","7,018","7,095","6,925","8,792","21,981","6,928","10,722","5,343","3,422"
Sep,2008,"2,511","16,660","8,780","6,110","6,696","9,603","12,264","4,552","8,511","3,618","3,716"
Oct,2008,"2,799","26,894","10,308","7,574","10,941","10,728","19,615","4,627","13,292","3,481","4,373"
Nov,2008,"2,743","14,714","12,161","6,644","6,084","9,756","17,906","3,869","11,717","3,466","3,492"
Dec,2008,"3,278","25,990","11,277","7,450","7,234","10,295","15,418","3,467","12,394","3,991","5,642"
Jan,2009,"3,141","21,419","3,720","4,863","7,206","8,629","22,635","4,640","10,019","3,124","6,136"
Feb,2009,"2,565","13,845","6,573","4,522","6,158","7,716","21,824","4,524","7,205","3,371","3,582"
Mar,2009,"2,521","15,340","9,792","5,518","7,861","8,317","23,404","3,360","7,779","3,325","2,992"
Apr,2009,"2,261","15,300","5,842","7,194","11,050","4,952","23,328","3,300","10,110","3,760","3,749"
May,2009,"2,232","15,596","7,100","7,891","7,075","5,053","10,010","2,817","22,911","2,983","2,625"
Jun,2009,"3,348","19,985","5,639","5,617","5,150","4,430","5,263","2,423","16,586","3,004","3,303"
Jul,2009,"3,518","21,472","6,796","5,125","6,355","5,841","12,753","3,695","9,480","3,809","3,534"
Aug,2009,"2,966","13,653","10,983","5,584","5,216","6,345","19,483","4,049","6,910","4,171","2,518"
Sep,2009,"1,883","20,318","11,912","5,124","5,260","7,440","11,872","1,748","7,062","2,594","2,780"
Oct,2009,"2,206","12,015","12,339","5,493","9,405","7,445","17,190","1,709","12,549","2,834","3,720"
Nov,2009,"2,386","12,890","14,235","5,237","4,986","5,398","22,648","2,262","6,835","2,626","3,107"
Dec,2009,"2,878","22,481","17,734","5,577","6,388","6,598","21,369","2,712","13,923","3,139","5,233"
Jan,2010,"2,697","20,179","13,885","4,576","6,366","5,143","22,683","5,779","9,414","2,397","5,104"
Feb,2010,"2,562","15,453","13,181","4,940","5,924","6,853","37,870","4,680","7,140","3,006","3,129"
Mar,2010,"2,731","14,023","15,198","5,196","7,717","7,928","19,556","4,629","7,830","3,145","2,722"
Apr,2010,"2,411","15,410","13,363","7,794","15,229","4,414","21,262","3,587","11,562","3,875","3,287"
May,2010,"2,552","17,229","15,874","7,872","7,556","4,829","15,122","4,456","26,985","2,481","2,567"
Jun,2010,"3,240","20,022","15,811","5,906","5,327","4,593","12,967","4,073","16,110","2,439","2,944"
Jul,2010,"3,799","25,429","16,961","5,423","7,341","5,252","21,501","4,046","9,488","3,301","3,600"
Aug,2010,"3,150","14,538","16,493","5,268","7,515","6,310","30,643","4,395","7,913","3,758","2,512"
Sep,2010,"2,182","23,681","17,571","5,354","6,395","5,640","12,985","3,398","7,476","2,515","2,994"
Oct,2010,"2,762","14,306","16,464","6,617","15,782","6,599","17,909","4,192","11,339","2,557","3,356"
Nov,2010,"2,631","14,060","18,172","6,360","5,180","8,688","19,699","3,546","15,042","2,718","3,027"
Dec,2010,"2,967","23,760","23,212","6,472","7,874","7,341","22,452","3,830","12,832","2,942","5,118"
Jan,2011,"2,930","20,769","17,205","4,869","7,419","7,055","26,635","6,886","10,664","2,562","5,661"
Feb,2011,"2,910","16,926","17,284","5,966","5,547","8,741","35,684","5,883","7,408","2,902","3,515"
Mar,2011,"3,068","15,960","17,199","6,561","8,607","8,620","31,482","4,286","7,613","3,013","2,937"
Apr,2011,"2,318","16,520","17,226","8,050","15,091","4,378","35,424","4,263","11,434","3,297","3,639"
May,2011,"2,571","17,193","16,828","9,429","9,065","4,795","27,798","4,560","24,821","2,447","2,679"
Jun,2011,"3,264","22,558","16,215","5,756","5,599","4,531","21,448","4,289","17,976","2,239","2,743"
Jul,2011,"3,935","25,600","17,407","5,629","6,932","5,989","39,053","5,351","9,727","3,142","3,722"
Aug,2011,"3,224","17,634","18,708","5,540","6,904","6,839","48,355","5,631","7,989","3,758","2,441"
Sep,2011,"2,160","22,143","15,653","5,452","5,027","6,940","21,338","3,443","6,742","2,659","2,943"
Oct,2011,"2,852","15,257","16,871","6,552","13,381","8,604","32,450","4,754","12,016","2,636","3,207"
Nov,2011,"2,731","14,663","17,629","6,255","4,989","9,287","22,698","4,707","12,870","2,839","3,387"
Dec,2011,"3,074","25,227","21,827","6,287","6,727","8,976","26,846","4,534","11,821","2,939","4,831"
Jan,2012,"3,250","24,346","19,345","5,140","7,558","6,475","42,929","8,316","9,070","2,612","6,264"
Feb,2012,"3,133","17,439","16,836","5,583","5,480","9,401","44,126","6,851","7,050","2,749","3,547"
Mar,2012,"3,135","17,422","18,394","5,920","8,854","10,063","53,221","5,104","6,593","2,831","2,679"
