Month,Year,    USA,    Indonesia,    Malaysia,    Philippines,    Thailand,    Japan,China,Korea,    India,  UK,  Australia
Jan,2007,"2,157","75,326","4,673","2,963",853,"3,958","2,149","13,297","5,002","3,390","3,899"
Feb,2007,"2,218","62,516","4,241","3,142",728,"3,137","4,138","8,195","2,944","2,493","1,717"
Mar,2007,"4,176","76,149","5,291","3,993","1,500","4,472","2,077","10,752","4,064","6,108","4,905"
Apr,2007,"2,094","68,771","5,589","4,006","1,402","3,393","1,701","8,690","3,215","2,392","4,668"
May,2007,"1,350","75,807","5,826","4,126",938,"3,412","3,210","8,529","8,235","1,861","3,509"
Jun,2007,"1,183","83,302","6,883","2,933",844,"3,814","1,778","9,689","6,643","1,968","3,714"
Jul,2007,"1,471","87,738","5,627","2,636",987,"3,608","2,951","10,895","4,264","1,562","4,150"
Aug,2007,"1,296","77,171","6,632","2,329","1,006","5,967","3,940","13,556","4,077","2,055","3,851"
Sep,2007,923,"68,298","5,215","1,987",946,"4,626","1,493","7,340","3,715","1,404","3,218"
Oct,2007,"4,554","95,365","5,424","2,897","1,318","5,345","2,835","7,217","4,501","2,966","4,334"
Nov,2007,"3,013","65,948","5,922","2,321","1,111","3,859","1,736","9,517","4,216","3,774","2,858"
Dec,2007,"3,677","102,583","8,086","2,687",723,"3,481","2,826","7,848","5,769","3,439","5,931"
Jan,2008,"1,864","70,815","4,520","1,833",841,"5,376","3,422","12,320","4,719","2,358","4,531"
Feb,2008,"1,904","60,343","4,791","1,976",765,"3,681","5,662","9,507","3,417","3,312","2,436"
Mar,2008,"4,629","72,097","6,755","2,928",991,"4,178","1,664","8,915","4,287","7,589","4,863"
Apr,2008,"2,064","59,918","4,881","2,335",777,"3,165","1,710","7,633","2,637","2,044","2,747"
May,2008,"1,188","62,727","5,122","2,848",824,"3,620","1,720","8,248","7,293","1,959","4,408"
Jun,2008,"1,289","64,574","4,740","1,899",485,"2,730","1,418","7,914","8,336","1,593","6,676"
Jul,2008,"1,402","69,092","4,353","1,862",868,"3,630","2,377","8,688","4,439","1,407","3,550"
Aug,2008,"1,245","57,780","4,446","1,788",523,"5,315","2,719","10,644","4,638","1,907","2,797"
Sep,2008,"1,061","63,768","3,840","1,741",461,"4,223","1,669","5,256","2,924","1,359","3,954"
Oct,2008,"3,931","60,176","5,188","2,323",749,"2,904","2,798","6,766","5,071","2,787","4,419"
Nov,2008,"2,772","53,551","8,041","2,223",598,"3,255","2,389","4,526","6,176","3,968","3,978"
Dec,2008,"2,056","82,620","13,299","2,860",871,"3,071","2,491","4,135","5,595","2,450","5,344"
Jan,2009,"1,821","44,637","4,827","2,245",755,"3,453","6,193","5,261","4,165","2,053","4,450"
Feb,2009,"2,067","41,849","4,304","1,794",906,"3,233","3,963","6,080","3,396","5,188","2,730"
Mar,2009,"5,036","48,346","5,690","2,548",905,"3,441","1,602","3,866","3,862","8,785","7,052"
Apr,2009,"4,507","46,413","4,489","3,453","1,139","3,039","1,861","3,657","3,908","3,882","4,803"
May,2009,"1,578","47,895","5,846","3,225","1,053","3,014","1,970","3,934","10,122","2,339","4,992"
Jun,2009,"1,081","52,680","5,298","1,953",728,"1,835","1,619","3,112","9,251","1,603","4,638"
Jul,2009,"1,304","53,831","4,552","1,617",864,"2,951","2,896","5,162","8,086","1,525","6,269"
Aug,2009,"1,129","46,578","5,195","2,242",806,"4,272","3,830","6,425","5,202","1,854","6,738"
Sep,2009,856,"59,961","4,527","1,915",572,"4,040","1,798","1,896","4,325","1,648","3,868"
Oct,2009,"3,350","47,022","4,150","2,138",815,"2,092","4,008","1,695","5,714","3,570","6,487"
Nov,2009,"3,258","47,756","8,566","2,699",735,"2,424","2,291","2,463","4,254","5,575","5,011"
Dec,2009,"2,328","71,401","12,783","2,806","1,183","2,612","2,945","3,148","6,372","2,462","4,179"
Jan,2010,"1,929","55,523","4,352","2,344",750,"3,416","3,305","9,277","5,919","2,784","4,974"
Feb,2010,"3,512","50,330","4,332","1,887",815,"2,785","7,612","5,937","3,493","5,538","2,622"
Mar,2010,"4,064","51,519","6,426","2,542",843,"2,879","2,270","6,074","3,928","7,991","5,076"
Apr,2010,"4,563","50,592","3,902","3,007","1,484","3,095","2,436","4,314","6,269","3,553","3,588"
May,2010,"1,001","57,336","4,138","3,061",867,"2,438","2,379","5,654","11,479","1,532","4,492"
Jun,2010,"1,157","59,577","5,259","1,904",695,"1,806","1,924","5,484","7,752","1,298","6,271"
Jul,2010,"1,500","66,790","4,966","1,997",853,"2,816","2,962","5,903","6,305","1,288","8,085"
Aug,2010,986,"48,897","4,671","1,762",758,"5,205","4,475","6,777","4,220","1,475","6,592"
